cod_ibge,nome,microrregiao,mesorregiao,populacao_2022,pib_mil_reais,idhm,forest_pct,temp_mean_c,precip_annual_mm,humidity_mean_pct,livability_score,rank
3542305,Redenção da Serra,Paraibuna/Paraitinga,Vale do Paraíba Paulista,4494,122059.0000,0.6570,31.2200,19.4000,1033.0000,78.2000,0.3471,608
3516002,Flórida Paulista,Adamantina,Presidente Prudente,12958,361684.0000,0.7150,3.8200,24.5000,1054.0000,63.0000,0.3462,609
3555356,Ubarana,São José do Rio Preto,São José do Rio Preto,5365,298746.0000,0.7000,5.1700,24.2000,1011.0000,64.9000,0.3449,610
3545704,Santa Albertina,Jales,São José do Rio Preto,6393,333897.0000,0.7280,3.7600,25.2000,877.0000,59.6000,0.3438,611
3505104,Barbosa,Birigui,Araçatuba,5640,186923.0000,0.6990,5.2700,24.2000,1011.0000,64.9000,0.3427,612
3501103,Alto Alegre,Birigui,Araçatuba,3841,172396.0000,0.7000,4.9500,23.8000,1072.0000,63.1000,0.3418,613
3515350,Euclides da Cunha Paulista,Presidente Prudente,Presidente Prudente,7924,162208.0000,0.7040,7.5700,23.9000,1163.0000,64.2000,0.3417,614
3515806,Flora Rica,Adamantina,Presidente Prudente,1487,65665.0000,0.7270,2.7100,24.9000,1078.0000,61.1000,0.3397,615
3532827,Nova Campina,Itapeva,Itapetininga,8497,260753.0000,0.6510,37.8700,19.4000,1135.0000,77.2000,0.3392,616
3556958,Vitória Brasil,Jales,São José do Rio Preto,1794,64481.0000,0.7250,3.6300,25.2000,877.0000,59.6000,0.3367,617
3510708,Cardoso,Votuporanga,São José do Rio Preto,11345,440025.0000,0.7220,8.2600,25.2000,877.0000,59.6000,0.3365,618
3534906,Pacaembu,Adamantina,Presidente Prudente,14877,285244.0000,0.7250,3.2700,24.9000,1078.0000,61.1000,0.3359,619
3533106,Nova Guataporanga,Dracena,Presidente Prudente,2156,47451.0000,0.7260,1.5000,24.9000,1078.0000,61.1000,0.3356,620
3529658,Mesópolis,Jales,São José do Rio Preto,1952,108331.0000,0.7240,4.3300,25.2000,877.0000,59.6000,0.3354,621
3506706,Boa Esperança do Sul,Araraquara,Araraquara,12978,633216.0000,0.6810,13.3200,23.4000,930.0000,65.3000,0.3349,622
3543501,Riversul,Itapeva,Itapetininga,5599,119164.0000,0.6640,13.1600,19.4000,1135.0000,77.2000,0.3331,623
