cod_ibge,nome,microrregiao,mesorregiao,populacao_2022,pib_mil_reais,idhm,forest_pct,temp_mean_c,precip_annual_mm,humidity_mean_pct
3542008,Quintana,Tupã,Marília,7038,371696.0,0.732,11.16,,,
3542107,Rafard,Piracicaba,Piracicaba,8965,594930.0,0.745,8.33,,,
3542206,Rancharia,Presidente Prudente,Presidente Prudente,28588,1999657.0,0.751,9.42,,,
3542305,Redenção da Serra,Paraibuna/Paraitinga,Vale do Paraíba Paulista,4494,122059.0,0.657,31.22,,,
3542404,Regente Feijó,Presidente Prudente,Presidente Prudente,20145,1293798.0,0.768,6.72,,,
3542503,Reginópolis,Bauru,Bauru,7662,270644.0,0.728,10.75,,,
3542602,Registro,Registro,Litoral Sul Paulista,59947,2931915.0,0.754,51.56,,,
3542701,Restinga,Franca,Ribeirão Preto,6404,311797.0,0.705,16.55,,,
3542800,Ribeira,Capão Bonito,Itapetininga,3132,61922.0,0.698,62.9,,,
3542909,Ribeirão Bonito,São Carlos,Araraquara,10989,494054.0,0.712,20.4,,,
3543006,Ribeirão Branco,Capão Bonito,Itapetininga,18627,640749.0,0.639,40.38,,,
3543105,Ribeirão Corrente,Franca,Ribeirão Preto,4608,282574.0,0.711,14.86,,,
3543204,Ribeirão do Sul,Ourinhos,Assis,4677,326855.0,0.747,6.79,,,
3543238,Ribeirão dos Índios,Presidente Prudente,Presidente Prudente,2025,56509.0,0.721,3.59,,,
3543253,Ribeirão Grande,Capão Bonito,Itapetininga,7450,127269.0,0.705,63.04,,,
3543303,Ribeirão Pires,São Paulo,Metropolitana de São Paulo,115559,4853229.0,0.784,52.18,,,
3543402,Ribeirão Preto,Ribeirão Preto,Ribeirão Preto,698642,52306820.0,0.8,7.54,,,
3543501,Riversul,Itapeva,Itapetininga,5599,119164.0,0.664,13.16,,,
3543600,Rifaina,Franca,Ribeirão Preto,4049,232911.0,0.74,28.39,,,
3543709,Rincão,Araraquara,Araraquara,9098,346937.0,0.734,6.64,,,
3543808,Rinópolis,Adamantina,Presidente Prudente,9259,495680.0,0.723,5.69,,,
3543907,Rio Claro,Rio Claro,Piracicaba,201418,15427117.0,0.803,15.55,,,
3544004,Rio das Pedras,Piracicaba,Piracicaba,31328,2037526.0,0.759,7.44,,,
3544103,Rio Grande da Serra,São Paulo,Metropolitana de São Paulo,44170,1166050.0,0.749,67.65,,,
3544202,Riolândia,Votuporanga,São José do Rio Preto,10309,390635.0,0.703,8.98,,,
3544251,Rosana,Presidente Prudente,Presidente Prudente,17440,1542731.0,0.764,9.76,,,
3544301,Roseira,Guaratinguetá,Vale do Paraíba Paulista,10832,450314.0,0.737,28.87,,,
3544400,Rubiácea,Araçatuba,Araçatuba,2700,88679.0,0.721,6.22,,,
3544509,Rubinéia,Jales,São José do Rio Preto,3833,196382.0,0.759,2.9,,,
3544608,Sabino,Lins,Bauru,5112,183225.0,0.728,8.51,,,
3544707,Sagres,Adamantina,Presidente Prudente,2474,72625.0,0.73,4.09,,,
3544806,Sales,Novo Horizonte,São José do Rio Preto,6437,266234.0,0.751,15.55,,,
3544905,Sales Oliveira,São Joaquim da Barra,Ribeirão Preto,11411,529464.0,0.772,7.58,,,
3545001,Salesópolis,Mogi das Cruzes,Metropolitana de São Paulo,15202,310985.0,0.732,48.04,,,
3545100,Salmourão,Adamantina,Presidente Prudente,4808,114824.0,0.719,13.8,,,
3545159,Saltinho,Piracicaba,Piracicaba,8161,471342.0,0.791,10.87,,,
3545209,Salto,Sorocaba,Macro Metropolitana Paulista,134319,11498959.0,0.78,6.5,,,
3545308,Salto de Pirapora,Sorocaba,Macro Metropolitana Paulista,43748,2856415.0,0.729,16.25,,,
3545407,Salto Grande,Ourinhos,Assis,9050,394928.0,0.704,7.08,,,
3545506,Sandovalina,Presidente Prudente,Presidente Prudente,3645,455962.0,0.709,5.0,,,
3545605,Santa Adélia,Catanduva,São José do Rio Preto,14018,560339.0,0.76,7.21,,,
3545704,Santa Albertina,Jales,São José do Rio Preto,6393,333897.0,0.728,3.76,,,
3545803,Santa Bárbara d'Oeste,Campinas,Campinas,183347,10803992.0,0.781,5.67,,,
3546009,Santa Branca,São José dos Campos,Vale do Paraíba Paulista,13975,357556.0,0.735,24.19,,,
3546108,Santa Clara d'Oeste,Jales,São José do Rio Preto,2598,130553.0,0.733,4.5,,,
