cod_ibge,nome,microrregiao,mesorregiao,populacao_2022,pib_mil_reais,idhm,forest_pct,temp_mean_c,precip_annual_mm,humidity_mean_pct
3503356,Arco-Íris,Tupã,Marília,2044,136329.0,0.722,5.26,,,
3503406,Arealva,Bauru,Bauru,8130,301110.0,0.744,10.39,,,
3503505,Areias,Bananal,Vale do Paraíba Paulista,3577,75042.0,0.697,32.51,,,
3503604,Areiópolis,Bauru,Bauru,10130,221707.0,0.695,4.84,,,
3503703,Ariranha,Catanduva,São José do Rio Preto,7602,1252002.0,0.733,5.95,,,
3503802,Artur Nogueira,Mogi Mirim,Campinas,51456,2162833.0,0.749,5.61,,,
3503901,Arujá,Guarulhos,Metropolitana de São Paulo,86678,10426127.0,0.784,38.58,,,
3503950,Aspásia,Jales,São José do Rio Preto,1842,65851.0,0.735,3.21,,,
3504008,Assis,Assis,Assis,101409,4682609.0,0.805,14.7,,,
3504107,Atibaia,Bragança Paulista,Macro Metropolitana Paulista,158647,9426584.0,0.765,28.17,,,
3504206,Auriflama,Auriflama,São José do Rio Preto,13692,443572.0,0.773,5.23,,,
3504305,Avaí,Bauru,Bauru,4483,500953.0,0.714,13.06,,,
3504404,Avanhandava,Birigui,Araçatuba,11263,295755.0,0.705,4.62,,,
3504503,Avaré,Avaré,Bauru,92805,4408538.0,0.767,14.08,,,
3504602,Bady Bassitt,São José do Rio Preto,São José do Rio Preto,27260,762195.0,0.746,8.24,,,
3504701,Balbinos,Bauru,Bauru,3887,82895.0,0.669,5.52,,,
3504800,Bálsamo,São José do Rio Preto,São José do Rio Preto,9596,367871.0,0.756,12.95,,,
3504909,Bananal,Bananal,Vale do Paraíba Paulista,9969,282444.0,0.733,54.24,,,
3505005,Barão de Antonina,Itapeva,Itapetininga,3531,80403.0,0.711,13.42,,,
3505104,Barbosa,Birigui,Araçatuba,5640,186923.0,0.699,5.27,,,
3505203,Bariri,Jaú,Bauru,31595,1863764.0,0.75,5.32,,,
3505302,Barra Bonita,Jaú,Bauru,34346,2077901.0,0.788,5.18,,,
3505351,Barra do Chapéu,Capão Bonito,Itapetininga,5179,202870.0,0.66,47.72,,,
3505401,Barra do Turvo,Registro,Litoral Sul Paulista,6876,145159.0,0.641,75.64,,,
3505500,Barretos,Barretos,Ribeirão Preto,122485,6715414.0,0.789,10.56,,,
3505609,Barrinha,Ribeirão Preto,Ribeirão Preto,32092,737580.0,0.725,3.23,,,
3505708,Barueri,Osasco,Metropolitana de São Paulo,316473,71646710.0,0.786,12.1,,,
3505807,Bastos,Tupã,Marília,21503,1596603.0,0.751,7.56,,,
3505906,Batatais,Batatais,Ribeirão Preto,58402,3328690.0,0.761,12.78,,,
3506003,Bauru,Bauru,Bauru,379146,20654759.0,0.801,15.07,,,
3506102,Bebedouro,Jaboticabal,Ribeirão Preto,76373,5343661.0,0.78,8.46,,,
3506201,Bento de Abreu,Araçatuba,Araçatuba,2606,288020.0,0.744,5.63,,,
3506300,Bernardino de Campos,Ourinhos,Assis,11607,605499.0,0.734,8.95,,,
3506359,Bertioga,Santos,Metropolitana de São Paulo,64188,2663550.0,0.73,88.33,,,
3506409,Bilac,Birigui,Araçatuba,7319,307745.0,0.768,3.57,,,
3506508,Birigui,Birigui,Araçatuba,118979,4866490.0,0.78,4.08,,,
3506607,Biritiba Mirim,Mogi das Cruzes,Metropolitana de São Paulo,29683,1111541.0,0.712,62.11,,,
3506706,Boa Esperança do Sul,Araraquara,Araraquara,12978,633216.0,0.681,13.32,,,
3506805,Bocaina,Jaú,Bauru,11259,381376.0,0.742,15.72,,,
3506904,Bofete,Botucatu,Bauru,10460,309773.0,0.705,31.14,,,
3507001,Boituva,Tatuí,Itapetininga,61081,4474130.0,0.78,10.04,,,
3507100,Bom Jesus dos Perdões,Bragança Paulista,Macro Metropolitana Paulista,22006,1627411.0,0.713,54.0,,,
3507159,Bom Sucesso de Itararé,Itapeva,Itapetininga,3555,77487.0,0.66,47.2,,,
3507209,Borá,Assis,Assis,907,120962.0,0.746,11.07,,,
3507308,Boracéia,Jaú,Bauru,4715,657535.0,0.754,5.63,,,
3507407,Borborema,Araraquara,Araraquara,14226,704921.0,0.73,5.12,,,
3507456,Borebi,Bauru,Bauru,2713,118452.0,0.705,16.7,,,
3507506,Botucatu,Botucatu,Bauru,145155,7992148.0,0.8,19.98,,,
3507605,Bragança Paulista,Bragança Paulista,Macro Metropolitana Paulista,176811,10443288.0,0.776,15.92,,,
3507704,Braúna,Birigui,Araçatuba,5356,157855.0,0.737,4.97,,,
3507753,Brejo Alegre,Birigui,Araçatuba,2565,90697.0,0.71,3.27,,,
3507803,Brodowski,Ribeirão Preto,Ribeirão Preto,25201,1210305.0,0.755,11.08,,,
3507902,Brotas,Rio Claro,Piracicaba,23898,1555980.0,0.74,17.74,,,
3508009,Buri,Itapeva,Itapetininga,20250,907833.0,0.667,23.06,,,
3508108,Buritama,Birigui,Araçatuba,17210,746204.0,0.763,6.12,,,
3508207,Buritizal,Ituverava,Ribeirão Preto,4356,305568.0,0.735,17.16,,,
3508306,Cabrália Paulista,Bauru,Bauru,4299,177481.0,0.694,15.6,,,
3508405,Cabreúva,Sorocaba,Macro Metropolitana Paulista,47011,7240981.0,0.738,49.3,,,
3508504,Caçapava,São José dos Campos,Vale do Paraíba Paulista,96202,6516271.0,0.788,15.66,,,
3508603,Cachoeira Paulista,Guaratinguetá,Vale do Paraíba Paulista,31564,847786.0,0.764,12.09,,,
3508702,Caconde,São João da Boa Vista,Campinas,17101,554109.0,0.72,19.09,,,
3508801,Cafelândia,Lins,Bauru,16654,930635.0,0.742,9.35,,,
3508900,Caiabu,Presidente Prudente,Presidente Prudente,3712,88015.0,0.729,8.42,,,
3509007,Caieiras,Franco da Rocha,Metropolitana de São Paulo,95032,5507619.0,0.781,49.95,,,
3509106,Caiuá,Presidente Prudente,Presidente Prudente,5466,111895.0,0.697,4.76,,,
3509205,Cajamar,Osasco,Metropolitana de São Paulo,92689,28984602.0,0.728,47.91,,,
3509254,Cajati,Registro,Litoral Sul Paulista,28515,1987670.0,0.694,58.19,,,
3509304,Cajobi,Catanduva,São José do Rio Preto,9133,275001.0,0.734,8.14,,,
3509403,Cajuru,Batatais,Ribeirão Preto,23830,1123799.0,0.713,25.81,,,
3509452,Campina do Monte Alegre,Itapetininga,Itapetininga,5954,211436.0,0.717,14.28,,,
3509502,Campinas,Campinas,Campinas,1139047,91968328.0,0.805,9.17,,,
3509601,Campo Limpo Paulista,Jundiaí,Macro Metropolitana Paulista,77632,3233935.0,0.769,27.33,,,
3509700,Campos do Jordão,Campos do Jordão,Vale do Paraíba Paulista,46974,1946799.0,0.749,71.21,,,
3509809,Campos Novos Paulista,Assis,Assis,4888,342295.0,0.706,11.75,,,
3509908,Cananéia,Registro,Litoral Sul Paulista,12289,330538.0,0.72,83.87,,,
3509957,Canas,Guaratinguetá,Vale do Paraíba Paulista,4931,121017.0,0.704,7.88,,,
3510005,Cândido Mota,Assis,Assis,29449,2482755.0,0.747,3.67,,,
3510104,Cândido Rodrigues,Jaboticabal,Ribeirão Preto,2889,157951.0,0.789,6.04,,,
3510153,Canitar,Ourinhos,Assis,6283,218328.0,0.68,3.44,,,
3510203,Capão Bonito,Capão Bonito,Itapetininga,46337,1668882.0,0.721,38.34,,,
3510302,Capela do Alto,Sorocaba,Macro Metropolitana Paulista,22866,536048.0,0.699,15.68,,,
3510401,Capivari,Piracicaba,Piracicaba,50068,3824460.0,0.75,9.06,,,
3510500,Caraguatatuba,Caraguatatuba,Vale do Paraíba Paulista,134873,5822815.0,0.759,78.33,,,
3510609,Carapicuíba,Osasco,Metropolitana de São Paulo,386984,8436817.0,0.749,5.82,,,
3510708,Cardoso,Votuporanga,São José do Rio Preto,11345,440025.0,0.722,8.26,,,
3510807,Casa Branca,São João da Boa Vista,Campinas,28083,1494279.0,0.73,13.11,,,
3510906,Cássia dos Coqueiros,Batatais,Ribeirão Preto,2799,306056.0,0.734,29.03,,,
3511003,Castilho,Andradina,Araçatuba,19977,2275541.0,0.731,8.98,,,
3511102,Catanduva,Catanduva,São José do Rio Preto,115791,7029953.0,0.785,7.45,,,
3511201,Catiguá,Catanduva,São José do Rio Preto,7003,196946.0,0.751,7.1,,,
3511300,Cedral,São José do Rio Preto,São José do Rio Preto,12618,808870.0,0.766,6.86,,,
3511409,Cerqueira César,Avaré,Bauru,21469,1400618.0,0.729,12.38,,,
3511508,Cerquilho,Tatuí,Itapetininga,44695,2891328.0,0.782,5.67,,,
3511607,Cesário Lange,Tatuí,Itapetininga,19048,1215884.0,0.706,6.96,,,
3511706,Charqueada,Piracicaba,Piracicaba,15535,790607.0,0.736,12.33,,,
3511904,Clementina,Birigui,Araçatuba,6982,254107.0,0.725,3.51,,,
3512001,Colina,Barretos,Ribeirão Preto,18486,2052576.0,0.757,8.17,,,
3512100,Colômbia,Barretos,Ribeirão Preto,6629,743433.0,0.71,11.71,,,
3512209,Conchal,Limeira,Piracicaba,28101,1093664.0,0.708,8.76,,,
3512308,Conchas,Botucatu,Bauru,15232,551103.0,0.736,12.07,,,
3512407,Cordeirópolis,Limeira,Piracicaba,24514,4167915.0,0.758,6.39,,,
3512506,Coroados,Birigui,Araçatuba,5400,335405.0,0.719,3.82,,,
3512605,Coronel Macedo,Itapeva,Itapetininga,4280,165849.0,0.69,10.82,,,
3512704,Corumbataí,Rio Claro,Piracicaba,4195,354604.0,0.754,20.08,,,
3512803,Cosmópolis,Campinas,Campinas,59773,2313364.0,0.769,7.84,,,
3512902,Cosmorama,Votuporanga,São José do Rio Preto,8719,878427.0,0.722,9.03,,,
3513009,Cotia,Itapecerica da Serra,Metropolitana de São Paulo,274413,19060773.0,0.78,54.64,,,
3513108,Cravinhos,Ribeirão Preto,Ribeirão Preto,33281,2357353.0,0.756,6.93,,,
3513207,Cristais Paulista,Franca,Ribeirão Preto,9272,449171.0,0.734,17.82,,,
3513306,Cruzália,Assis,Assis,2108,218199.0,0.774,1.81,,,
3513405,Cruzeiro,Guaratinguetá,Vale do Paraíba Paulista,74961,4281962.0,0.788,34.51,,,
3513504,Cubatão,Santos,Metropolitana de São Paulo,112476,27813388.0,0.737,64.99,,,
3513603,Cunha,Paraibuna/Paraitinga,Vale do Paraíba Paulista,22110,432941.0,0.684,33.01,,,
3513702,Descalvado,São Carlos,Araraquara,31756,2584483.0,0.76,19.98,,,
3513801,Diadema,São Paulo,Metropolitana de São Paulo,393237,21229085.0,0.757,6.55,,,
3513850,Dirce Reis,Jales,São José do Rio Preto,1620,99485.0,0.741,9.77,,,
3513900,Divinolândia,São João da Boa Vista,Campinas,11158,528584.0,0.734,17.73,,,
3514007,Dobrada,Araraquara,Araraquara,8759,213755.0,0.718,3.59,,,
3514106,Dois Córregos,Jaú,Bauru,24510,1187097.0,0.725,9.86,,,
3514205,Dolcinópolis,Jales,São José do Rio Preto,2207,84390.0,0.742,2.25,,,
3514304,Dourado,São Carlos,Araraquara,8096,1178140.0,0.738,22.04,,,
3514403,Dracena,Dracena,Presidente Prudente,45474,1855224.0,0.776,5.17,,,
3514502,Duartina,Bauru,Bauru,12328,435780.0,0.748,12.45,,,
3514601,Dumont,Ribeirão Preto,Ribeirão Preto,9471,414002.0,0.744,4.31,,,
3514700,Echaporã,Marília,Marília,6205,187403.0,0.745,15.72,,,
3514809,Eldorado,Registro,Litoral Sul Paulista,13069,423995.0,0.691,84.03,,,
3514908,Elias Fausto,Campinas,Campinas,17699,2159509.0,0.695,4.3,,,
3514924,Elisiário,Catanduva,São José do Rio Preto,3138,121971.0,0.747,11.15,,,
3514957,Embaúba,Catanduva,São José do Rio Preto,2323,93032.0,0.73,7.52,,,
3515004,Embu das Artes,Itapecerica da Serra,Metropolitana de São Paulo,250691,17290650.0,0.735,33.11,,,
3515103,Embu-Guaçu,Itapecerica da Serra,Metropolitana de São Paulo,66970,1742920.0,0.749,60.91,,,
3515129,Emilianópolis,Presidente Prudente,Presidente Prudente,3014,97866.0,0.727,3.22,,,
3515152,Engenheiro Coelho,Mogi Mirim,Campinas,19566,814390.0,0.732,8.28,,,
3515186,Espírito Santo do Pinhal,São João da Boa Vista,Campinas,39816,2715247.0,0.787,20.09,,,
3515194,Espírito Santo do Turvo,Ourinhos,Assis,4157,181809.0,0.696,8.16,,,
3515202,Estrela d'Oeste,Fernandópolis,São José do Rio Preto,9417,1317163.0,0.76,7.04,,,
3515301,Estrela do Norte,Presidente Prudente,Presidente Prudente,2703,69692.0,0.74,7.57,,,
3515350,Euclides da Cunha Paulista,Presidente Prudente,Presidente Prudente,7924,162208.0,0.704,7.57,,,
3515400,Fartura,Ourinhos,Assis,16641,566395.0,0.732,12.86,,,
3515509,Fernandópolis,Fernandópolis,São José do Rio Preto,71186,2790708.0,0.797,6.2,,,
3515608,Fernando Prestes,Jaboticabal,Ribeirão Preto,5942,281662.0,0.758,6.86,,,
3515657,Fernão,Marília,Marília,1656,102634.0,0.703,14.29,,,
3515707,Ferraz de Vasconcelos,Mogi das Cruzes,Metropolitana de São Paulo,179198,5523981.0,0.738,18.17,,,
3515806,Flora Rica,Adamantina,Presidente Prudente,1487,65665.0,0.727,2.71,,,
3515905,Floreal,Auriflama,São José do Rio Preto,2733,131171.0,0.747,6.95,,,
3516002,Flórida Paulista,Adamantina,Presidente Prudente,12958,361684.0,0.715,3.82,,,
3516101,Florínea,Assis,Assis,3851,216161.0,0.713,3.79,,,
3516200,Franca,Franca,Ribeirão Preto,352536,14375667.0,0.78,18.07,,,
3516309,Francisco Morato,Franco da Rocha,Metropolitana de São Paulo,165139,2237469.0,0.703,28.25,,,
3516408,Franco da Rocha,Franco da Rocha,Metropolitana de São Paulo,144849,5438089.0,0.731,38.67,,,
3516507,Gabriel Monteiro,Birigui,Araçatuba,2763,123956.0,0.763,4.54,,,
3516606,Gália,Marília,Marília,6380,220849.0,0.709,19.69,,,
3516705,Garça,Marília,Marília,42110,1893766.0,0.769,17.96,,,
3516804,Gastão Vidigal,Auriflama,São José do Rio Preto,3252,101942.0,0.723,7.86,,,
3516853,Gavião Peixoto,Araraquara,Araraquara,4702,1735633.0,0.719,8.62,,,
3516903,General Salgado,Auriflama,São José do Rio Preto,10312,348923.0,0.747,7.85,,,
3517000,Getulina,Lins,Bauru,10232,272841.0,0.717,7.15,,,
3517109,Glicério,Birigui,Araçatuba,4138,188392.0,0.735,3.06,,,
3517208,Guaiçara,Lins,Bauru,11239,310852.0,0.739,4.66,,,
3517307,Guaimbê,Lins,Bauru,5512,593772.0,0.728,5.66,,,
3517406,Guaíra,São Joaquim da Barra,Ribeirão Preto,39279,3233958.0,0.753,6.09,,,
3517505,Guapiaçu,São José do Rio Preto,São José do Rio Preto,21711,1134077.0,0.725,8.82,,,
3517604,Guapiara,Capão Bonito,Itapetininga,17071,585182.0,0.675,43.27,,,
3517703,Guará,Ituverava,Ribeirão Preto,18606,854715.0,0.718,6.64,,,
3517802,Guaraçaí,Andradina,Araçatuba,7441,374454.0,0.719,10.25,,,
3517901,Guaraci,São José do Rio Preto,São José do Rio Preto,10350,660486.0,0.737,8.51,,,
3518008,Guarani d'Oeste,Fernandópolis,São José do Rio Preto,1968,48665.0,0.732,4.49,,,
3518107,Guarantã,Bauru,Bauru,6427,312045.0,0.713,9.88,,,
3518206,Guararapes,Araçatuba,Araçatuba,31043,1718488.0,0.763,5.36,,,
3518305,Guararema,Mogi das Cruzes,Metropolitana de São Paulo,31236,2034663.0,0.731,31.4,,,
3518404,Guaratinguetá,Guaratinguetá,Vale do Paraíba Paulista,118044,8369821.0,0.798,30.59,,,
3518503,Guareí,Itapetininga,Itapetininga,15013,386201.0,0.687,21.71,,,
3518602,Guariba,Jaboticabal,Ribeirão Preto,37498,1517994.0,0.719,3.65,,,
3518701,Guarujá,Santos,Metropolitana de São Paulo,287634,11536359.0,0.751,54.9,,,
3518800,Guarulhos,Guarulhos,Metropolitana de São Paulo,1291771,97557674.0,0.763,37.06,,,
3518859,Guatapará,Ribeirão Preto,Ribeirão Preto,7320,353798.0,0.743,8.54,,,
3518909,Guzolândia,Auriflama,São José do Rio Preto,4246,120156.0,0.697,5.18,,,
3519006,Herculândia,Tupã,Marília,9125,552689.0,0.727,2.48,,,
3519055,Holambra,Campinas,Campinas,15094,1806633.0,0.793,7.9,,,
3519071,Hortolândia,Campinas,Campinas,236641,22163924.0,0.756,1.08,,,
3519105,Iacanga,Bauru,Bauru,10437,687530.0,0.745,8.81,,,
3519204,Iacri,Tupã,Marília,6131,372134.0,0.733,5.11,,,
3519253,Iaras,Avaré,Bauru,8010,326007.0,0.674,20.58,,,
3519303,Ibaté,São Carlos,Araraquara,32178,1516837.0,0.703,16.14,,,
3519402,Ibirá,São José do Rio Preto,São José do Rio Preto,11690,418178.0,0.74,9.3,,,
3519501,Ibirarema,Assis,Assis,6385,331387.0,0.708,4.25,,,
3519600,Ibitinga,Araraquara,Araraquara,60033,2528835.0,0.747,6.06,,,
3519709,Ibiúna,Piedade,Macro Metropolitana Paulista,75605,3023501.0,0.71,61.32,,,
3519808,Icém,São José do Rio Preto,São José do Rio Preto,7819,263932.0,0.72,12.81,,,
3519907,Iepê,Assis,Assis,7619,503732.0,0.736,7.51,,,
3520004,Igaraçu do Tietê,Jaú,Bauru,23106,477976.0,0.727,3.04,,,
3520103,Igarapava,Ituverava,Ribeirão Preto,26212,1422122.0,0.768,13.25,,,
3520202,Igaratá,São José dos Campos,Vale do Paraíba Paulista,10605,353163.0,0.711,35.69,,,
3520301,Iguape,Registro,Litoral Sul Paulista,29115,1896850.0,0.726,82.75,,,
3520400,Ilhabela,Caraguatatuba,Vale do Paraíba Paulista,34934,14830715.0,0.756,94.09,,,
3520426,Ilha Comprida,Registro,Litoral Sul Paulista,13419,2802536.0,0.725,55.32,,,
3520442,Ilha Solteira,Andradina,Araçatuba,25549,917732.0,0.812,3.26,,,
3520509,Indaiatuba,Campinas,Campinas,255748,28264863.0,0.788,7.96,,,
3520608,Indiana,Presidente Prudente,Presidente Prudente,5090,99886.0,0.761,10.4,,,
3520707,Indiaporã,Fernandópolis,São José do Rio Preto,4035,167087.0,0.751,6.44,,,
3520806,Inúbia Paulista,Adamantina,Presidente Prudente,3615,176723.0,0.759,8.29,,,
3520905,Ipaussu,Ourinhos,Assis,13712,678118.0,0.727,11.32,,,
3521002,Iperó,Sorocaba,Macro Metropolitana Paulista,36459,1291003.0,0.719,29.98,,,
3521101,Ipeúna,Rio Claro,Piracicaba,6831,1055776.0,0.753,18.02,,,
3521150,Ipiguá,São José do Rio Preto,São José do Rio Preto,6761,173091.0,0.73,11.42,,,
3521200,Iporanga,Capão Bonito,Itapetininga,4046,70829.0,0.703,90.69,,,
3521309,Ipuã,São Joaquim da Barra,Ribeirão Preto,14454,589810.0,0.749,5.95,,,
3521408,Iracemápolis,Limeira,Piracicaba,21967,2403778.0,0.776,8.44,,,
3521507,Irapuã,Novo Horizonte,São José do Rio Preto,6867,282416.0,0.713,11.64,,,
3521606,Irapuru,Adamantina,Presidente Prudente,7085,142422.0,0.712,3.6,,,
3521705,Itaberá,Itapeva,Itapetininga,17983,1058159.0,0.693,15.11,,,
3521804,Itaí,Avaré,Bauru,25180,1082752.0,0.713,11.07,,,
3521903,Itajobi,Novo Horizonte,São José do Rio Preto,16989,1278534.0,0.73,7.03,,,
3522000,Itaju,Jaú,Bauru,3618,308305.0,0.705,5.95,,,
3522109,Itanhaém,Itanhaém,Litoral Sul Paulista,112476,2956406.0,0.745,87.22,,,
3522158,Itaoca,Capão Bonito,Itapetininga,3422,67982.0,0.68,45.0,,,
3522208,Itapecerica da Serra,Itapecerica da Serra,Metropolitana de São Paulo,158522,6215134.0,0.742,53.06,,,
3522307,Itapetininga,Itapetininga,Itapetininga,157790,7962802.0,0.763,19.02,,,
3522406,Itapeva,Itapeva,Itapetininga,89728,4558512.0,0.732,20.63,,,
3522505,Itapevi,Osasco,Metropolitana de São Paulo,232297,15615097.0,0.735,34.51,,,
3522604,Itapira,Mogi Mirim,Campinas,72022,6365974.0,0.762,13.52,,,
3522653,Itapirapuã Paulista,Capão Bonito,Itapetininga,4306,77308.0,0.661,48.1,,,
3522703,Itápolis,Araraquara,Araraquara,39493,2524858.0,0.744,7.88,,,
3522802,Itaporanga,Itapeva,Itapetininga,14085,408307.0,0.719,13.32,,,
3522901,Itapuí,Jaú,Bauru,13659,1311338.0,0.725,2.46,,,
3523008,Itapura,Andradina,Araçatuba,3979,209349.0,0.72,4.11,,,
3523107,Itaquaquecetuba,Mogi das Cruzes,Metropolitana de São Paulo,369275,11979260.0,0.714,7.75,,,
3523206,Itararé,Itapeva,Itapetininga,44438,1406445.0,0.703,21.2,,,
3523305,Itariri,Itanhaém,Litoral Sul Paulista,15528,400627.0,0.677,78.55,,,
3523404,Itatiba,Bragança Paulista,Macro Metropolitana Paulista,121590,10327467.0,0.778,16.57,,,
3523503,Itatinga,Avaré,Bauru,19070,601161.0,0.706,20.5,,,
3523602,Itirapina,Rio Claro,Piracicaba,16148,1570273.0,0.724,23.53,,,
3523701,Itirapuã,Franca,Ribeirão Preto,5779,190876.0,0.707,19.6,,,
3523800,Itobi,São João da Boa Vista,Campinas,8046,251138.0,0.717,11.22,,,
3523909,Itu,Sorocaba,Macro Metropolitana Paulista,168240,14012530.0,0.773,20.87,,,
3524006,Itupeva,Jundiaí,Macro Metropolitana Paulista,70616,10529260.0,0.762,18.45,,,
3524105,Ituverava,Ituverava,Ribeirão Preto,37571,2218625.0,0.765,7.54,,,
3524204,Jaborandi,São Joaquim da Barra,Ribeirão Preto,6221,247095.0,0.711,5.93,,,
3524303,Jaboticabal,Jaboticabal,Ribeirão Preto,71821,4156253.0,0.778,4.36,,,
3524402,Jacareí,São José dos Campos,Vale do Paraíba Paulista,240275,19692996.0,0.777,17.18,,,
3524501,Jaci,São José do Rio Preto,São José do Rio Preto,7613,880800.0,0.723,8.97,,,
3524600,Jacupiranga,Registro,Litoral Sul Paulista,16097,698901.0,0.717,73.73,,,
3524709,Jaguariúna,Campinas,Campinas,59347,14680878.0,0.784,7.6,,,
3524808,Jales,Jales,São José do Rio Preto,48776,2590208.0,0.776,5.87,,,
3524907,Jambeiro,Paraibuna/Paraitinga,Vale do Paraíba Paulista,6397,461642.0,0.756,25.62,,,
3525003,Jandira,Osasco,Metropolitana de São Paulo,118045,5547107.0,0.76,9.54,,,
3525102,Jardinópolis,Ribeirão Preto,Ribeirão Preto,45282,2398612.0,0.735,9.5,,,
3525201,Jarinu,Bragança Paulista,Macro Metropolitana Paulista,37535,3546444.0,0.733,27.22,,,
3525300,Jaú,Jaú,Bauru,133497,6542933.0,0.778,4.07,,,
3525409,Jeriquara,Franca,Ribeirão Preto,3863,308789.0,0.703,12.43,,,
3525508,Joanópolis,Bragança Paulista,Macro Metropolitana Paulista,12815,335737.0,0.699,36.56,,,
3525607,João Ramalho,Presidente Prudente,Presidente Prudente,4371,187000.0,0.741,7.22,,,
3525706,José Bonifácio,São José do Rio Preto,São José do Rio Preto,36633,1940540.0,0.777,6.64,,,
3525805,Júlio Mesquita,Lins,Bauru,4254,82839.0,0.716,9.56,,,
3525854,Jumirim,Piracicaba,Piracicaba,3056,287951.0,0.741,9.93,,,
3525904,Jundiaí,Jundiaí,Macro Metropolitana Paulista,443221,65418378.0,0.822,36.77,,,
3526001,Junqueirópolis,Dracena,Presidente Prudente,20448,940871.0,0.745,3.93,,,
3526100,Juquiá,Registro,Litoral Sul Paulista,17154,446418.0,0.7,79.3,,,
3526209,Juquitiba,Itapecerica da Serra,Metropolitana de São Paulo,27404,660665.0,0.709,86.99,,,
3526308,Lagoinha,Paraibuna/Paraitinga,Vale do Paraíba Paulista,5083,101411.0,0.693,24.35,,,
3526407,Laranjal Paulista,Tatuí,Itapetininga,26261,1688979.0,0.729,6.54,,,
3526506,Lavínia,Araçatuba,Araçatuba,9689,262294.0,0.721,5.53,,,
3526605,Lavrinhas,Guaratinguetá,Vale do Paraíba Paulista,7171,169896.0,0.729,34.41,,,
3526704,Leme,Limeira,Piracicaba,98161,4938512.0,0.744,8.39,,,
3526803,Lençóis Paulista,Bauru,Bauru,66505,6564648.0,0.764,9.25,,,
3526902,Limeira,Limeira,Piracicaba,291869,20876940.0,0.775,7.49,,,
3527009,Lindóia,Amparo,Campinas,7014,405308.0,0.742,16.0,,,
3527108,Lins,Lins,Bauru,74779,8610363.0,0.786,6.8,,,
3527207,Lorena,Guaratinguetá,Vale do Paraíba Paulista,84855,4501318.0,0.766,19.78,,,
3527256,Lourdes,Birigui,Araçatuba,1950,55440.0,0.742,8.28,,,
3527306,Louveira,Jundiaí,Macro Metropolitana Paulista,51847,20154612.0,0.777,19.46,,,
3527405,Lucélia,Adamantina,Presidente Prudente,20061,600068.0,0.752,4.9,,,
3527504,Lucianópolis,Bauru,Bauru,2372,138654.0,0.733,12.51,,,
3527603,Luís Antônio,Ribeirão Preto,Ribeirão Preto,12265,2385617.0,0.731,26.95,,,
3527702,Luiziânia,Birigui,Araçatuba,4701,117809.0,0.702,5.45,,,
3527801,Lupércio,Marília,Marília,3981,115244.0,0.724,23.23,,,
3527900,Lutécia,Assis,Assis,2661,135645.0,0.72,10.46,,,
3528007,Macatuba,Jaú,Bauru,16829,691847.0,0.77,5.4,,,
3528106,Macaubal,Nhandeara,São José do Rio Preto,7481,245038.0,0.743,8.96,,,
3528205,Macedônia,Fernandópolis,São José do Rio Preto,3963,123750.0,0.74,6.34,,,
3528304,Magda,Auriflama,São José do Rio Preto,3165,168949.0,0.753,14.21,,,
3528403,Mairinque,Sorocaba,Macro Metropolitana Paulista,50027,2923463.0,0.743,33.37,,,
3528502,Mairiporã,Franco da Rocha,Metropolitana de São Paulo,93853,2767181.0,0.788,63.1,,,
3528601,Manduri,Ourinhos,Assis,9871,361118.0,0.739,10.31,,,
3528700,Marabá Paulista,Presidente Prudente,Presidente Prudente,4573,201668.0,0.677,4.98,,,
3528809,Maracaí,Assis,Assis,12673,1039676.0,0.771,4.83,,,
3528858,Marapoama,Novo Horizonte,São José do Rio Preto,3292,163562.0,0.752,6.02,,,
3528908,Mariápolis,Adamantina,Presidente Prudente,3513,90255.0,0.718,2.5,,,
3529005,Marília,Marília,Marília,237627,12507571.0,0.798,15.46,,,
3529104,Marinópolis,Jales,São José do Rio Preto,1860,56365.0,0.731,3.86,,,
3529203,Martinópolis,Presidente Prudente,Presidente Prudente,24881,949416.0,0.721,8.36,,,
3529302,Matão,Araraquara,Araraquara,79033,7646780.0,0.773,12.29,,,
3529401,Mauá,São Paulo,Metropolitana de São Paulo,418261,25000732.0,0.766,18.65,,,
3529500,Mendonça,São José do Rio Preto,São José do Rio Preto,6159,593745.0,0.744,8.93,,,
3529609,Meridiano,Fernandópolis,São José do Rio Preto,4572,437548.0,0.731,11.93,,,
3529658,Mesópolis,Jales,São José do Rio Preto,1952,108331.0,0.724,4.33,,,
3529708,Miguelópolis,São Joaquim da Barra,Ribeirão Preto,19441,1113098.0,0.741,4.52,,,
3529807,Mineiros do Tietê,Jaú,Bauru,11230,309941.0,0.73,8.75,,,
3529906,Miracatu,Registro,Litoral Sul Paulista,18553,560827.0,0.697,84.9,,,
3530003,Mira Estrela,Fernandópolis,São José do Rio Preto,3126,77240.0,0.743,5.8,,,
3530102,Mirandópolis,Andradina,Araçatuba,27983,978818.0,0.751,7.18,,,
3530201,Mirante do Paranapanema,Presidente Prudente,Presidente Prudente,15917,651108.0,0.724,3.24,,,
3530300,Mirassol,São José do Rio Preto,São José do Rio Preto,63337,3345888.0,0.762,8.47,,,
3530409,Mirassolândia,São José do Rio Preto,São José do Rio Preto,4669,378154.0,0.738,11.51,,,
3530508,Mococa,São João da Boa Vista,Campinas,67681,4014553.0,0.762,17.24,,,
